t,Sv0,Sv1,Sh0,Sr0,Sr1,Sr2,Sr3,Sr4,Sr5,Sr6,Iv0,Iv1,Ih0,Ir0,Ir1,Ir2,Ir3,Ir4,Ir5,Ir6,Rv0,Rv1,Rh0,Rr0,Rr1,Rr2,Rr3,Rr4,Rr5,Rr6,cumIv0,cumIv1,cumIh0,cumIr0,cumIr1,cumIr2,cumIr3,cumIr4,cumIr5,cumIr6,cumIv,pIv,pIh,pIr
617,0.0879632,0.0879632,0.0704994,0.0657761,0.0657761,0.0657761,0.0657761,0.0657761,0.0657761,0.0657761,0.000269033,0.000269033,0.000874718,0.00105936,0.00105936,0.00105936,0.00105936,0.00105936,0.00105936,0.00105936,0.0117677,0.0117677,0.0286259,0.0331646,0.0331646,0.0331646,0.0331646,0.0331646,0.0331646,0.0331646,0.0350273,0.0350273,0.0764346,0.0876332,0.0876332,0.0876332,0.0876332,0.0876332,0.0876332,0.0876332,0.0700545,0.00269033,0.00874718,0.0105936
618,0.0879589,0.0879589,0.0704593,0.0657236,0.0657236,0.0657236,0.0657236,0.0657236,0.0657236,0.0657236,0.00027392,0.00027392,0.000890248,0.00107798,0.00107798,0.00107798,0.00107798,0.00107798,0.00107798,0.00107798,0.0117672,0.0117672,0.0286504,0.0331984,0.0331984,0.0331984,0.0331984,0.0331984,0.0331984,0.0331984,0.0350638,0.0350638,0.0765531,0.0877766,0.0877766,0.0877766,0.0877766,0.0877766,0.0877766,0.0877766,0.0701276,0.0027392,0.00890248,0.0107798
619,0.0879539,0.0879539,0.0704173,0.0656689,0.0656689,0.0656689,0.0656689,0.0656689,0.0656689,0.0656689,0.000278874,0.000278874,0.000905964,0.00109682,0.00109682,0.00109682,0.00109682,0.00109682,0.00109682,0.00109682,0.0117672,0.0117672,0.0286767,0.0332343,0.0332343,0.0332343,0.0332343,0.0332343,0.0332343,0.0332343,0.035101,0.035101,0.0766736,0.0879223,0.0879223,0.0879223,0.0879223,0.0879223,0.0879223,0.0879223,0.0702021,0.00278874,0.00905964,0.0109682
620,0.0879483,0.0879483,0.0703734,0.0656119,0.0656119,0.0656119,0.0656119,0.0656119,0.0656119,0.0656119,0.000283894,0.000283894,0.000921861,0.00111587,0.00111587,0.00111587,0.00111587,0.00111587,0.00111587,0.00111587,0.0117678,0.0117678,0.0287047,0.0332723,0.0332723,0.0332723,0.0332723,0.0332723,0.0332723,0.0332723,0.0351389,0.0351389,0.0767962,0.0880704,0.0880704,0.0880704,0.0880704,0.0880704,0.0880704,0.0880704,0.0702778,0.00283894,0.00921861,0.0111587
621,0.0879421,0.0879421,0.0703275,0.0655525,0.0655525,0.0655525,0.0655525,0.0655525,0.0655525,0.0655525,0.000288979,0.000288979,0.000937936,0.00113511,0.00113511,0.00113511,0.00113511,0.00113511,0.00113511,0.00113511,0.011769,0.011769,0.0287346,0.0333124,0.0333124,0.0333124,0.0333124,0.0333124,0.0333124,0.0333124,0.0351774,0.0351774,0.0769208,0.088221,0.088221,0.088221,0.088221,0.088221,0.088221,0.088221,0.0703548,0.00288979,0.00937936,0.0113511
622,0.0879351,0.0879351,0.0702796,0.0654908,0.0654908,0.0654908,0.0654908,0.0654908,0.0654908,0.0654908,0.000294128,0.000294128,0.000954182,0.00115454,0.00115454,0.00115454,0.00115454,0.00115454,0.00115454,0.00115454,0.0117707,0.0117707,0.0287662,0.0333547,0.0333547,0.0333547,0.0333547,0.0333547,0.0333547,0.0333547,0.0352166,0.0352166,0.0770474,0.088374,0.088374,0.088374,0.088374,0.088374,0.088374,0.088374,0.0704331,0.00294128,0.00954182,0.0115454
623,0.0879275,0.0879275,0.0702298,0.0654268,0.0654268,0.0654268,0.0654268,0.0654268,0.0654268,0.0654268,0.00029934,0.00029934,0.000970596,0.00117416,0.00117416,0.00117416,0.00117416,0.00117416,0.00117416,0.00117416,0.0117731,0.0117731,0.0287996,0.0333991,0.0333991,0.0333991,0.0333991,0.0333991,0.0333991,0.0333991,0.0352564,0.0352564,0.0771761,0.0885295,0.0885295,0.0885295,0.0885295,0.0885295,0.0885295,0.0885295,0.0705128,0.0029934,0.00970596,0.0117416
624,0.0879193,0.0879193,0.0701779,0.0653604,0.0653604,0.0653604,0.0653604,0.0653604,0.0653604,0.0653604,0.000304613,0.000304613,0.000987172,0.00119397,0.00119397,0.00119397,0.00119397,0.00119397,0.00119397,0.00119397,0.0117761,0.0117761,0.0288349,0.0334457,0.0334457,0.0334457,0.0334457,0.0334457,0.0334457,0.0334457,0.0352969,0.0352969,0.0773069,0.0886875,0.0886875,0.0886875,0.0886875,0.0886875,0.0886875,0.0886875,0.0705938,0.00304613,0.00987172,0.0119397
625,0.0879104,0.0879104,0.0701241,0.0652916,0.0652916,0.0652916,0.0652916,0.0652916,0.0652916,0.0652916,0.000309947,0.000309947,0.0010039,0.00121394,0.00121394,0.00121394,0.00121394,0.00121394,0.00121394,0.00121394,0.0117797,0.0117797,0.028872,0.0334945,0.0334945,0.0334945,0.0334945,0.0334945,0.0334945,0.0334945,0.0353381,0.0353381,0.0774398,0.088848,0.088848,0.088848,0.088848,0.088848,0.088848,0.088848,0.0706762,0.00309947,0.010039,0.0121394
626,0.0879008,0.0879008,0.0700682,0.0652205,0.0652205,0.0652205,0.0652205,0.0652205,0.0652205,0.0652205,0.000315339,0.000315339,0.00102078,0.00123407,0.00123407,0.00123407,0.00123407,0.00123407,0.00123407,0.00123407,0.0117839,0.0117839,0.028911,0.0335455,0.0335455,0.0335455,0.0335455,0.0335455,0.0335455,0.0335455,0.03538,0.03538,0.0775748,0.0890109,0.0890109,0.0890109,0.0890109,0.0890109,0.0890109,0.0890109,0.07076,0.00315339,0.0102078,0.0123407
627,0.0878905,0.0878905,0.0700104,0.065147,0.065147,0.065147,0.065147,0.065147,0.065147,0.065147,0.000320789,0.000320789,0.00103781,0.00125436,0.00125436,0.00125436,0.00125436,0.00125436,0.00125436,0.00125436,0.0117887,0.0117887,0.0289518,0.0335987,0.0335987,0.0335987,0.0335987,0.0335987,0.0335987,0.0335987,0.0354225,0.0354225,0.077712,0.0891764,0.0891764,0.0891764,0.0891764,0.0891764,0.0891764,0.0891764,0.0708451,0.00320789,0.0103781,0.0125436
628,0.0878795,0.0878795,0.0699505,0.0650711,0.0650711,0.0650711,0.0650711,0.0650711,0.0650711,0.0650711,0.000326294,0.000326294,0.00105496,0.00127479,0.00127479,0.00127479,0.00127479,0.00127479,0.00127479,0.00127479,0.0117942,0.0117942,0.0289946,0.0336541,0.0336541,0.0336541,0.0336541,0.0336541,0.0336541,0.0336541,0.0354658,0.0354658,0.0778512,0.0893444,0.0893444,0.0893444,0.0893444,0.0893444,0.0893444,0.0893444,0.0709316,0.00326294,0.0105496,0.0127479
629,0.0878679,0.0878679,0.0698886,0.0649929,0.0649929,0.0649929,0.0649929,0.0649929,0.0649929,0.0649929,0.000331853,0.000331853,0.00107225,0.00129536,0.00129536,0.00129536,0.00129536,0.00129536,0.00129536,0.00129536,0.0118002,0.0118002,0.0290392,0.0337118,0.0337118,0.0337118,0.0337118,0.0337118,0.0337118,0.0337118,0.0355098,0.0355098,0.0779926,0.0895149,0.0895149,0.0895149,0.0895149,0.0895149,0.0895149,0.0895149,0.0710195,0.00331853,0.0107225,0.0129536
630,0.0878556,0.0878556,0.0698247,0.0649122,0.0649122,0.0649122,0.0649122,0.0649122,0.0649122,0.0649122,0.000337463,0.000337463,0.00108965,0.00131605,0.00131605,0.00131605,0.00131605,0.00131605,0.00131605,0.00131605,0.011807,0.011807,0.0290857,0.0337717,0.0337717,0.0337717,0.0337717,0.0337717,0.0337717,0.0337717,0.0355544,0.0355544,0.0781362,0.089688,0.089688,0.089688,0.089688,0.089688,0.089688,0.089688,0.0711088,0.00337463,0.0108965,0.0131605
631,0.0878426,0.0878426,0.0697587,0.0648293,0.0648293,0.0648293,0.0648293,0.0648293,0.0648293,0.0648293,0.000343122,0.000343122,0.00110717,0.00133685,0.00133685,0.00133685,0.00133685,0.00133685,0.00133685,0.00133685,0.0118143,0.0118143,0.0291341,0.0338339,0.0338339,0.0338339,0.0338339,0.0338339,0.0338339,0.0338339,0.0355998,0.0355998,0.0782819,0.0898636,0.0898636,0.0898636,0.0898636,0.0898636,0.0898636,0.0898636,0.0711996,0.00343122,0.0110717,0.0133685
632,0.0878289,0.0878289,0.0696908,0.0647439,0.0647439,0.0647439,0.0647439,0.0647439,0.0647439,0.0647439,0.000348829,0.000348829,0.00112479,0.00135776,0.00135776,0.00135776,0.00135776,0.00135776,0.00135776,0.00135776,0.0118223,0.0118223,0.0291845,0.0338983,0.0338983,0.0338983,0.0338983,0.0338983,0.0338983,0.0338983,0.0356459,0.0356459,0.0784297,0.0900417,0.0900417,0.0900417,0.0900417,0.0900417,0.0900417,0.0900417,0.0712917,0.00348829,0.0112479,0.0135776
633,0.0878145,0.0878145,0.0696208,0.0646562,0.0646562,0.0646562,0.0646562,0.0646562,0.0646562,0.0646562,0.00035458,0.00035458,0.0011425,0.00137876,0.00137876,0.00137876,0.00137876,0.00137876,0.00137876,0.00137876,0.0118309,0.0118309,0.0292367,0.033965,0.033965,0.033965,0.033965,0.033965,0.033965,0.033965,0.0356927,0.0356927,0.0785797,0.0902223,0.0902223,0.0902223,0.0902223,0.0902223,0.0902223,0.0902223,0.0713853,0.0035458,0.011425,0.0137876
634,0.0877994,0.0877994,0.0695488,0.0645662,0.0645662,0.0645662,0.0645662,0.0645662,0.0645662,0.0645662,0.000360373,0.000360373,0.00116029,0.00139983,0.00139983,0.00139983,0.00139983,0.00139983,0.00139983,0.00139983,0.0118402,0.0118402,0.0292909,0.034034,0.034034,0.034034,0.034034,0.034034,0.034034,0.034034,0.0357402,0.0357402,0.0787318,0.0904055,0.0904055,0.0904055,0.0904055,0.0904055,0.0904055,0.0904055,0.0714803,0.00360373,0.0116029,0.0139983
635,0.0877836,0.0877836,0.0694748,0.0644738,0.0644738,0.0644738,0.0644738,0.0644738,0.0644738,0.0644738,0.000366206,0.000366206,0.00117816,0.00142097,0.00142097,0.00142097,0.00142097,0.00142097,0.00142097,0.00142097,0.0118502,0.0118502,0.029347,0.0341052,0.0341052,0.0341052,0.0341052,0.0341052,0.0341052,0.0341052,0.0357884,0.0357884,0.0788861,0.0905912,0.0905912,0.0905912,0.0905912,0.0905912,0.0905912,0.0905912,0.0715768,0.00366206,0.0117816,0.0142097
636,0.0877672,0.0877672,0.0693989,0.0643791,0.0643791,0.0643791,0.0643791,0.0643791,0.0643791,0.0643791,0.000372076,0.000372076,0.00119608,0.00144216,0.00144216,0.00144216,0.00144216,0.00144216,0.00144216,0.00144216,0.0118608,0.0118608,0.029405,0.0341787,0.0341787,0.0341787,0.0341787,0.0341787,0.0341787,0.0341787,0.0358373,0.0358373,0.0790426,0.0907795,0.0907795,0.0907795,0.0907795,0.0907795,0.0907795,0.0907795,0.0716747,0.00372076,0.0119608,0.0144216
637,0.08775,0.08775,0.0693209,0.0642821,0.0642821,0.0642821,0.0642821,0.0642821,0.0642821,0.0642821,0.000377979,0.000377979,0.00121406,0.00146338,0.00146338,0.00146338,0.00146338,0.00146338,0.00146338,0.00146338,0.011872,0.011872,0.029465,0.0342545,0.0342545,0.0342545,0.0342545,0.0342545,0.0342545,0.0342545,0.035887,0.035887,0.0792012,0.0909702,0.0909702,0.0909702,0.0909702,0.0909702,0.0909702,0.0909702,0.071774,0.00377979,0.0121406,0.0146338
638,0.0877322,0.0877322,0.069241,0.0641828,0.0641828,0.0641828,0.0641828,0.0641828,0.0641828,0.0641828,0.000383912,0.000383912,0.00123208,0.00148463,0.00148463,0.00148463,0.00148463,0.00148463,0.00148463,0.00148463,0.0118839,0.0118839,0.0295269,0.0343326,0.0343326,0.0343326,0.0343326,0.0343326,0.0343326,0.0343326,0.0359374,0.0359374,0.0793619,0.0911635,0.0911635,0.0911635,0.0911635,0.0911635,0.0911635,0.0911635,0.0718748,0.00383912,0.0123208,0.0148463
639,0.0877136,0.0877136,0.0691591,0.0640812,0.0640812,0.0640812,0.0640812,0.0640812,0.0640812,0.0640812,0.000389873,0.000389873,0.00125012,0.00150589,0.00150589,0.00150589,0.00150589,0.00150589,0.00150589,0.00150589,0.0118965,0.0118965,0.0295908,0.0344129,0.0344129,0.0344129,0.0344129,0.0344129,0.0344129,0.0344129,0.0359885,0.0359885,0.0795248,0.0913592,0.0913592,0.0913592,0.0913592,0.0913592,0.0913592,0.0913592,0.071977,0.00389873,0.0125012,0.0150589
640,0.0876944,0.0876944,0.0690753,0.0639774,0.0639774,0.0639774,0.0639774,0.0639774,0.0639774,0.0639774,0.000395858,0.000395858,0.00126819,0.00152714,0.00152714,0.00152714,0.00152714,0.00152714,0.00152714,0.00152714,0.0119097,0.0119097,0.0296566,0.0344954,0.0344954,0.0344954,0.0344954,0.0344954,0.0344954,0.0344954,0.0360403,0.0360403,0.0796898,0.0915575,0.0915575,0.0915575,0.0915575,0.0915575,0.0915575,0.0915575,0.0720806,0.00395858,0.0126819,0.0152714
641,0.0876745,0.0876745,0.0689895,0.0638714,0.0638714,0.0638714,0.0638714,0.0638714,0.0638714,0.0638714,0.000401863,0.000401863,0.00128625,0.00154837,0.00154837,0.00154837,0.00154837,0.00154837,0.00154837,0.00154837,0.0119236,0.0119236,0.0297242,0.0345803,0.0345803,0.0345803,0.0345803,0.0345803,0.0345803,0.0345803,0.0360929,0.0360929,0.0798569,0.0917581,0.0917581,0.0917581,0.0917581,0.0917581,0.0917581,0.0917581,0.0721857,0.00401863,0.0128625,0.0154837
642,0.0876539,0.0876539,0.0689018,0.0637631,0.0637631,0.0637631,0.0637631,0.0637631,0.0637631,0.0637631,0.000407885,0.000407885,0.0013043,0.00156956,0.00156956,0.00156956,0.00156956,0.00156956,0.00156956,0.00156956,0.0119382,0.0119382,0.0297939,0.0346673,0.0346673,0.0346673,0.0346673,0.0346673,0.0346673,0.0346673,0.0361461,0.0361461,0.0800261,0.0919612,0.0919612,0.0919612,0.0919612,0.0919612,0.0919612,0.0919612,0.0722923,0.00407885,0.013043,0.0156956
643,0.0876327,0.0876327,0.0688123,0.0636527,0.0636527,0.0636527,0.0636527,0.0636527,0.0636527,0.0636527,0.00041392,0.00041392,0.00132233,0.00159069,0.00159069,0.00159069,0.00159069,0.00159069,0.00159069,0.00159069,0.0119534,0.0119534,0.0298654,0.0347566,0.0347566,0.0347566,0.0347566,0.0347566,0.0347566,0.0347566,0.0362001,0.0362001,0.0801974,0.0921668,0.0921668,0.0921668,0.0921668,0.0921668,0.0921668,0.0921668,0.0724002,0.0041392,0.0132233,0.0159069
644,0.0876108,0.0876108,0.0687209,0.0635401,0.0635401,0.0635401,0.0635401,0.0635401,0.0635401,0.0635401,0.000419964,0.000419964,0.00134032,0.00161175,0.00161175,0.00161175,0.00161175,0.00161175,0.00161175,0.00161175,0.0119693,0.0119693,0.0299388,0.0348481,0.0348481,0.0348481,0.0348481,0.0348481,0.0348481,0.0348481,0.0362548,0.0362548,0.0803707,0.0923747,0.0923747,0.0923747,0.0923747,0.0923747,0.0923747,0.0923747,0.0725096,0.00419964,0.0134032,0.0161175
645,0.0875882,0.0875882,0.0686276,0.0634255,0.0634255,0.0634255,0.0634255,0.0634255,0.0634255,0.0634255,0.000426013,0.000426013,0.00135826,0.00163272,0.00163272,0.00163272,0.00163272,0.00163272,0.00163272,0.00163272,0.0119858,0.0119858,0.0300141,0.0349418,0.0349418,0.0349418,0.0349418,0.0349418,0.0349418,0.0349418,0.0363102,0.0363102,0.0805461,0.0925849,0.0925849,0.0925849,0.0925849,0.0925849,0.0925849,0.0925849,0.0726205,0.00426013,0.0135826,0.0163272
646,0.0875649,0.0875649,0.0685325,0.0633087,0.0633087,0.0633087,0.0633087,0.0633087,0.0633087,0.0633087,0.000432062,0.000432062,0.00137613,0.00165359,0.00165359,0.00165359,0.00165359,0.00165359,0.00165359,0.00165359,0.012003,0.012003,0.0300914,0.0350377,0.0350377,0.0350377,0.0350377,0.0350377,0.0350377,0.0350377,0.0363663,0.0363663,0.0807235,0.0927975,0.0927975,0.0927975,0.0927975,0.0927975,0.0927975,0.0927975,0.0727327,0.00432062,0.0137613,0.0165359
647,0.087541,0.087541,0.0684357,0.0631899,0.0631899,0.0631899,0.0631899,0.0631899,0.0631899,0.0631899,0.000438108,0.000438108,0.00139392,0.00167433,0.00167433,0.00167433,0.00167433,0.00167433,0.00167433,0.00167433,0.0120209,0.0120209,0.0301704,0.0351357,0.0351357,0.0351357,0.0351357,0.0351357,0.0351357,0.0351357,0.0364232,0.0364232,0.0809029,0.0930125,0.0930125,0.0930125,0.0930125,0.0930125,0.0930125,0.0930125,0.0728463,0.00438108,0.0139392,0.0167433
648,0.0875164,0.0875164,0.068337,0.0630692,0.0630692,0.0630692,0.0630692,0.0630692,0.0630692,0.0630692,0.000444147,0.000444147,0.00141162,0.00169492,0.00169492,0.00169492,0.00169492,0.00169492,0.00169492,0.00169492,0.0120394,0.0120394,0.0302513,0.0352359,0.0352359,0.0352359,0.0352359,0.0352359,0.0352359,0.0352359,0.0364807,0.0364807,0.0810843,0.0932296,0.0932296,0.0932296,0.0932296,0.0932296,0.0932296,0.0932296,0.0729613,0.00444147,0.0141162,0.0169492
649,0.0874913,0.0874913,0.0682367,0.0629464,0.0629464,0.0629464,0.0629464,0.0629464,0.0629464,0.0629464,0.000450173,0.000450173,0.0014292,0.00171535,0.00171535,0.00171535,0.00171535,0.00171535,0.00171535,0.00171535,0.0120586,0.0120586,0.0303341,0.0353382,0.0353382,0.0353382,0.0353382,0.0353382,0.0353382,0.0353382,0.0365389,0.0365389,0.0812677,0.093449,0.093449,0.093449,0.093449,0.093449,0.093449,0.093449,0.0730778,0.00450173,0.014292,0.0171535
650,0.0874654,0.0874654,0.0681347,0.0628218,0.0628218,0.0628218,0.0628218,0.0628218,0.0628218,0.0628218,0.000456181,0.000456181,0.00144666,0.00173561,0.00173561,0.00173561,0.00173561,0.00173561,0.00173561,0.00173561,0.0120784,0.0120784,0.0304187,0.0354426,0.0354426,0.0354426,0.0354426,0.0354426,0.0354426,0.0354426,0.0365978,0.0365978,0.0814529,0.0936706,0.0936706,0.0936706,0.0936706,0.0936706,0.0936706,0.0936706,0.0731955,0.00456181,0.0144666,0.0173561
651,0.087439,0.087439,0.068031,0.0626953,0.0626953,0.0626953,0.0626953,0.0626953,0.0626953,0.0626953,0.000462169,0.000462169,0.00146398,0.00175566,0.00175566,0.00175566,0.00175566,0.00175566,0.00175566,0.00175566,0.0120989,0.0120989,0.030505,0.0355491,0.0355491,0.0355491,0.0355491,0.0355491,0.0355491,0.0355491,0.0366573,0.0366573,0.0816401,0.0938944,0.0938944,0.0938944,0.0938944,0.0938944,0.0938944,0.0938944,0.0733147,0.00462169,0.0146398,0.0175566
652,0.0874119,0.0874119,0.0679257,0.0625669,0.0625669,0.0625669,0.0625669,0.0625669,0.0625669,0.0625669,0.000468129,0.000468129,0.00148114,0.0017755,0.0017755,0.0017755,0.0017755,0.0017755,0.0017755,0.0017755,0.01212,0.01212,0.0305932,0.0356576,0.0356576,0.0356576,0.0356576,0.0356576,0.0356576,0.0356576,0.0367176,0.0367176,0.0818291,0.0941203,0.0941203,0.0941203,0.0941203,0.0941203,0.0941203,0.0941203,0.0734352,0.00468129,0.0148114,0.017755
653,0.0873842,0.0873842,0.0678188,0.0624369,0.0624369,0.0624369,0.0624369,0.0624369,0.0624369,0.0624369,0.000474059,0.000474059,0.00149813,0.0017951,0.0017951,0.0017951,0.0017951,0.0017951,0.0017951,0.0017951,0.0121417,0.0121417,0.0306831,0.035768,0.035768,0.035768,0.035768,0.035768,0.035768,0.035768,0.0367785,0.0367785,0.0820199,0.0943482,0.0943482,0.0943482,0.0943482,0.0943482,0.0943482,0.0943482,0.073557,0.00474059,0.0149813,0.017951
654,0.087356,0.087356,0.0677104,0.0623051,0.0623051,0.0623051,0.0623051,0.0623051,0.0623051,0.0623051,0.000479952,0.000479952,0.00151492,0.00181444,0.00181444,0.00181444,0.00181444,0.00181444,0.00181444,0.00181444,0.0121641,0.0121641,0.0307747,0.0358805,0.0358805,0.0358805,0.0358805,0.0358805,0.0358805,0.0358805,0.03684,0.03684,0.0822125,0.0945781,0.0945781,0.0945781,0.0945781,0.0945781,0.0945781,0.0945781,0.0736801,0.00479952,0.0151492,0.0181444
655,0.0873271,0.0873271,0.0676005,0.0621716,0.0621716,0.0621716,0.0621716,0.0621716,0.0621716,0.0621716,0.000485803,0.000485803,0.00153152,0.00183351,0.00183351,0.00183351,0.00183351,0.00183351,0.00183351,0.00183351,0.0121871,0.0121871,0.030868,0.0359949,0.0359949,0.0359949,0.0359949,0.0359949,0.0359949,0.0359949,0.0369022,0.0369022,0.0824068,0.0948101,0.0948101,0.0948101,0.0948101,0.0948101,0.0948101,0.0948101,0.0738045,0.00485803,0.0153152,0.0183351
656,0.0872977,0.0872977,0.0674891,0.0620365,0.0620365,0.0620365,0.0620365,0.0620365,0.0620365,0.0620365,0.000491609,0.000491609,0.00154789,0.00185228,0.00185228,0.00185228,0.00185228,0.00185228,0.00185228,0.00185228,0.0122107,0.0122107,0.030963,0.0361112,0.0361112,0.0361112,0.0361112,0.0361112,0.0361112,0.0361112,0.0369651,0.0369651,0.0826029,0.0950439,0.0950439,0.0950439,0.0950439,0.0950439,0.0950439,0.0950439,0.0739301,0.00491609,0.0154789,0.0185228
657,0.0872678,0.0872678,0.0673764,0.0619,0.0619,0.0619,0.0619,0.0619,0.0619,0.0619,0.000497363,0.000497363,0.00156402,0.00187075,0.00187075,0.00187075,0.00187075,0.00187075,0.00187075,0.00187075,0.0122349,0.0122349,0.0310596,0.0362293,0.0362293,0.0362293,0.0362293,0.0362293,0.0362293,0.0362293,0.0370285,0.0370285,0.0828006,0.0952796,0.0952796,0.0952796,0.0952796,0.0952796,0.0952796,0.0952796,0.0740571,0.00497363,0.0156402,0.0187075
658,0.0872372,0.0872372,0.0672623,0.0617619,0.0617619,0.0617619,0.0617619,0.0617619,0.0617619,0.0617619,0.00050306,0.00050306,0.00157991,0.00188888,0.00188888,0.00188888,0.00188888,0.00188888,0.00188888,0.00188888,0.0122597,0.0122597,0.0311578,0.0363492,0.0363492,0.0363492,0.0363492,0.0363492,0.0363492,0.0363492,0.0370926,0.0370926,0.0829999,0.0955171,0.0955171,0.0955171,0.0955171,0.0955171,0.0955171,0.0955171,0.0741852,0.0050306,0.0157991,0.0188888
659,0.0872062,0.0872062,0.0671469,0.0616224,0.0616224,0.0616224,0.0616224,0.0616224,0.0616224,0.0616224,0.000508695,0.000508695,0.00159552,0.00190666,0.00190666,0.00190666,0.00190666,0.00190666,0.00190666,0.00190666,0.0122851,0.0122851,0.0312576,0.0364709,0.0364709,0.0364709,0.0364709,0.0364709,0.0364709,0.0364709,0.0371573,0.0371573,0.0832008,0.0957563,0.0957563,0.0957563,0.0957563,0.0957563,0.0957563,0.0957563,0.0743145,0.00508695,0.0159552,0.0190666
660,0.0871746,0.0871746,0.0670303,0.0614816,0.0614816,0.0614816,0.0614816,0.0614816,0.0614816,0.0614816,0.000514263,0.000514263,0.00161085,0.00192407,0.00192407,0.00192407,0.00192407,0.00192407,0.00192407,0.00192407,0.0123111,0.0123111,0.0313589,0.0365944,0.0365944,0.0365944,0.0365944,0.0365944,0.0365944,0.0365944,0.0372225,0.0372225,0.0834032,0.0959972,0.0959972,0.0959972,0.0959972,0.0959972,0.0959972,0.0959972,0.074445,0.00514263,0.0161085,0.0192407
661,0.0871426,0.0871426,0.0669125,0.0613395,0.0613395,0.0613395,0.0613395,0.0613395,0.0613395,0.0613395,0.000519759,0.000519759,0.00162588,0.0019411,0.0019411,0.0019411,0.0019411,0.0019411,0.0019411,0.0019411,0.0123377,0.0123377,0.0314617,0.0367195,0.0367195,0.0367195,0.0367195,0.0367195,0.0367195,0.0367195,0.0372883,0.0372883,0.0836071,0.0962398,0.0962398,0.0962398,0.0962398,0.0962398,0.0962398,0.0962398,0.0745767,0.00519759,0.0162588,0.019411
662,0.08711,0.08711,0.0667935,0.0611961,0.0611961,0.0611961,0.0611961,0.0611961,0.0611961,0.0611961,0.000525178,0.000525178,0.00164059,0.00195772,0.00195772,0.00195772,0.00195772,0.00195772,0.00195772,0.00195772,0.0123648,0.0123648,0.0315659,0.0368462,0.0368462,0.0368462,0.0368462,0.0368462,0.0368462,0.0368462,0.0373547,0.0373547,0.0838124,0.0964839,0.0964839,0.0964839,0.0964839,0.0964839,0.0964839,0.0964839,0.0747095,0.00525178,0.0164059,0.0195772
663,0.087077,0.087077,0.0666735,0.0610516,0.0610516,0.0610516,0.0610516,0.0610516,0.0610516,0.0610516,0.000530514,0.000530514,0.00165497,0.00197392,0.00197392,0.00197392,0.00197392,0.00197392,0.00197392,0.00197392,0.0123925,0.0123925,0.0316716,0.0369744,0.0369744,0.0369744,0.0369744,0.0369744,0.0369744,0.0369744,0.0374217,0.0374217,0.084019,0.0967295,0.0967295,0.0967295,0.0967295,0.0967295,0.0967295,0.0967295,0.0748433,0.00530514,0.0165497,0.0197392
664,0.0870435,0.0870435,0.0665524,0.0609061,0.0609061,0.0609061,0.0609061,0.0609061,0.0609061,0.0609061,0.000535762,0.000535762,0.00166901,0.00198968,0.00198968,0.00198968,0.00198968,0.00198968,0.00198968,0.00198968,0.0124207,0.0124207,0.0317786,0.0371042,0.0371042,0.0371042,0.0371042,0.0371042,0.0371042,0.0371042,0.0374891,0.0374891,0.084227,0.0969765,0.0969765,0.0969765,0.0969765,0.0969765,0.0969765,0.0969765,0.0749783,0.00535762,0.0166901,0.0198968
665,0.0870096,0.0870096,0.0664304,0.0607596,0.0607596,0.0607596,0.0607596,0.0607596,0.0607596,0.0607596,0.000540917,0.000540917,0.00168268,0.00200498,0.00200498,0.00200498,0.00200498,0.00200498,0.00200498,0.00200498,0.0124494,0.0124494,0.0318869,0.0372355,0.0372355,0.0372355,0.0372355,0.0372355,0.0372355,0.0372355,0.0375571,0.0375571,0.0844362,0.0972249,0.0972249,0.0972249,0.0972249,0.0972249,0.0972249,0.0972249,0.0751142,0.00540917,0.0168268,0.0200498
666,0.0869753,0.0869753,0.0663075,0.0606121,0.0606121,0.0606121,0.0606121,0.0606121,0.0606121,0.0606121,0.000545975,0.000545975,0.00169598,0.00201981,0.00201981,0.00201981,0.00201981,0.00201981,0.00201981,0.00201981,0.0124787,0.0124787,0.0319966,0.0373681,0.0373681,0.0373681,0.0373681,0.0373681,0.0373681,0.0373681,0.0376256,0.0376256,0.0846467,0.0974745,0.0974745,0.0974745,0.0974745,0.0974745,0.0974745,0.0974745,0.0752511,0.00545975,0.0169598,0.0201981
667,0.0869406,0.0869406,0.0661837,0.0604638,0.0604638,0.0604638,0.0604638,0.0604638,0.0604638,0.0604638,0.000550929,0.000550929,0.0017089,0.00203416,0.00203416,0.00203416,0.00203416,0.00203416,0.00203416,0.00203416,0.0125085,0.0125085,0.0321074,0.0375021,0.0375021,0.0375021,0.0375021,0.0375021,0.0375021,0.0375021,0.0376945,0.0376945,0.0848583,0.0977254,0.0977254,0.0977254,0.0977254,0.0977254,0.0977254,0.0977254,0.0753891,0.00550929,0.017089,0.0203416
668,0.0869055,0.0869055,0.0660592,0.0603147,0.0603147,0.0603147,0.0603147,0.0603147,0.0603147,0.0603147,0.000555775,0.000555775,0.0017214,0.002048,0.002048,0.002048,0.002048,0.002048,0.002048,0.002048,0.0125388,0.0125388,0.0322194,0.0376373,0.0376373,0.0376373,0.0376373,0.0376373,0.0376373,0.0376373,0.0377639,0.0377639,0.0850709,0.0979774,0.0979774,0.0979774,0.0979774,0.0979774,0.0979774,0.0979774,0.0755279,0.00555775,0.017214,0.02048
