t,pSv,pSh,pSr,pIv,pIh,pIr,pRv,pRh,pRr
118,0.86683,0.861545,0.86367,0.00866375,0.0096015,0.00954065,0.002593906,0.1288535,6.085896
119,0.866405,0.86098,0.863085,0.00843315,0.0094115,0.0093729,0.002607563,0.1296085,6.122112
120,0.866,0.860425,0.8625,0.0082107,0.0092363,0.0092218,0.002620625,0.1303405,6.157368
121,0.865615,0.859875,0.86192,0.00799695,0.00907545,0.00908655,0.002633125,0.1310505,6.191712
122,0.865245,0.85933,0.86134,0.0077922,0.0089286,0.00896645,0.002645094,0.131741,6.225264
123,0.86489,0.85879,0.86076,0.00759675,0.0087954,0.008861,0.002656531,0.132413,6.258096
124,0.86455,0.858255,0.860185,0.00741075,0.00867545,0.0087697,0.002667479,0.1330685,6.290256
125,0.864225,0.85772,0.8596,0.0072343,0.00856845,0.008692,0.002677958,0.133709,6.321888
126,0.86391,0.85719,0.85902,0.00706735,0.00847415,0.0086276,0.00268799,0.134336,6.353016
127,0.863605,0.856655,0.85843,0.00690995,0.0083923,0.0085762,0.002697594,0.1349515,6.383736
128,0.86331,0.85612,0.857835,0.006762,0.00832265,0.00853755,0.002706813,0.135556,6.414144
129,0.863025,0.855585,0.857235,0.0066235,0.0082651,0.00851135,0.002715646,0.1361515,6.444264
130,0.862745,0.85504,0.856625,0.0064942,0.0082195,0.0084976,0.002724146,0.1367395,6.474192
131,0.862475,0.854495,0.856005,0.0063741,0.00818575,0.0084961,0.002732302,0.137321,6.504
132,0.86221,0.85394,0.855375,0.00626295,0.00816375,0.0085069,0.002740167,0.1378975,6.53376
133,0.861945,0.853375,0.85473,0.00616075,0.0081535,0.00852995,0.00274775,0.138471,6.56352
134,0.86169,0.852805,0.854075,0.00606725,0.00815505,0.0085653,0.002755073,0.1390425,6.593376
135,0.861435,0.85222,0.8534,0.0059823,0.0081684,0.00861315,0.002762167,0.139613,6.623376
136,0.86118,0.85162,0.85271,0.00590585,0.0081937,0.0086736,0.002769031,0.140184,6.653592
137,0.86093,0.85101,0.852,0.00583775,0.00823105,0.00874695,0.002775708,0.1407575,6.684096
138,0.860675,0.850385,0.85127,0.00577785,0.00828065,0.00883335,0.002782219,0.1413345,6.714984
139,0.860425,0.84974,0.85052,0.0057261,0.00834275,0.0089332,0.002788563,0.141916,6.74628
140,0.86017,0.84908,0.84974,0.00568235,0.00841755,0.0090469,0.002794781,0.142504,6.778104
141,0.85991,0.848395,0.84894,0.00564655,0.00850545,0.0091749,0.002800885,0.1431,6.810528
142,0.85965,0.84769,0.848105,0.0056187,0.00860675,0.0093176,0.002806896,0.1437055,6.8436
143,0.859385,0.846955,0.847245,0.00559865,0.00872195,0.0094757,0.002812833,0.144322,6.87744
144,0.859115,0.8462,0.84635,0.0055865,0.00885145,0.00964975,0.002818708,0.144951,6.912096
145,0.85884,0.84541,0.845415,0.00558215,0.0089959,0.00984045,0.002824552,0.145594,6.947688
146,0.858555,0.84459,0.844445,0.0055857,0.0091558,0.0100486,0.002830385,0.146253,6.984288
147,0.858265,0.84374,0.843435,0.0055971,0.0093318,0.010275,0.002836208,0.14693,7.022016
148,0.857965,0.84285,0.842375,0.0056165,0.00952475,0.0105206,0.002842063,0.1476265,7.060944
149,0.857655,0.84192,0.84127,0.00564395,0.00973535,0.01078645,0.002847948,0.148345,7.101216
150,0.857335,0.84095,0.840115,0.00567955,0.0099645,0.0110736,0.002853906,0.1490865,7.142928
151,0.857,0.839935,0.838905,0.00572345,0.01021315,0.0113832,0.002859938,0.149854,7.186176
152,0.856655,0.83887,0.837635,0.00577585,0.0104824,0.01171665,0.002866073,0.15065,7.231104
153,0.85629,0.83775,0.836305,0.00583685,0.0107733,0.01207525,0.002872323,0.151476,7.277856
154,0.855915,0.83658,0.834905,0.00590665,0.01108715,0.0124606,0.002878719,0.152335,7.326552
155,0.85552,0.835345,0.83343,0.0059856,0.01142525,0.0128742,0.002885271,0.1532295,7.377336
156,0.85511,0.83405,0.83188,0.0060739,0.011789,0.0133179,0.002892021,0.154163,7.4304
157,0.85468,0.832685,0.83025,0.0061718,0.01217995,0.01379355,0.002898969,0.1551375,7.485888
158,0.854225,0.831245,0.82853,0.0062797,0.0125998,0.01430315,0.002906146,0.1561565,7.543968
159,0.85375,0.829725,0.826715,0.0063979,0.01305025,0.01484885,0.002913583,0.1572235,7.604832
160,0.85325,0.828125,0.8248,0.0065268,0.0135333,0.015433,0.002921302,0.158342,7.668696
161,0.852725,0.826435,0.82278,0.0066668,0.01405085,0.01605795,0.002929323,0.1595155,7.735776
162,0.852175,0.824645,0.820645,0.00681835,0.0146052,0.0167264,0.002937677,0.1607485,7.806288
163,0.85159,0.822755,0.818385,0.0069819,0.01519855,0.0174411,0.002946385,0.1620445,7.880448
164,0.85098,0.820755,0.81599,0.007158,0.01583345,0.01820495,0.00295549,0.163409,7.958568
165,0.850335,0.81864,0.81346,0.0073471,0.01651235,0.01902105,0.002965,0.164846,8.040888
166,0.84965,0.8164,0.81078,0.00754985,0.0172381,0.0198927,0.002974969,0.1663615,8.127696
167,0.848935,0.814025,0.80794,0.0077667,0.0180135,0.0208233,0.002985417,0.1679595,8.219304
168,0.848175,0.81151,0.804935,0.00799835,0.0188416,0.02181635,0.002996385,0.169647,8.316024
169,0.847375,0.808845,0.801745,0.00824545,0.01972555,0.02287565,0.003007906,0.1714295,8.41824
170,0.84653,0.80602,0.798365,0.0085085,0.0206685,0.02400495,0.00302001,0.1733135,8.526288
171,0.84564,0.80302,0.79478,0.0087883,0.0216739,0.0252082,0.00303274,0.175306,8.640576
172,0.8447,0.79984,0.79098,0.0090854,0.02274515,0.0264894,0.003046135,0.1774135,8.761488
173,0.84371,0.79647,0.78695,0.0094005,0.02388575,0.0278526,0.00306024,0.1796445,8.889456
